Category,Sub Category,Product,Price,Rating,Rating_Count
Arts & Crafts,Crafting,"Command Large Picture Hanging Strips, White, Holds up to 16 lbs, 14-Pairs, Easy to Open Packaging",$13.27,4.6,103192
Arts & Crafts,Crafting,"Scissors, iBayam 8"" Multipurpose Scissors Bulk Ultra Sharp Shears, Comfort-Grip Sturdy Scissors for Office Home School Sewing Fabric Craft Supplies, Right/Left Handed, 3-Pack, Mint, Grey, Purple",$6.79,4.8,51747
Arts & Crafts,Crafting,"Luna Bean Keepsake Hands Casting Kit | DIY Plaster Statue Molding Kit | Hand Holding Craft for Couples, Adult & Child, Wedding, Friends, Anniversary",$34.99,4.6,27988
Arts & Crafts,Crafting,"Amazon Basics Clear Thermal Laminating Plastic Paper Laminator Sheets - 9 x 11.5-Inches, 100-pack (Clear)",$16.16,4.8,45653
Arts & Crafts,Crafting,"Scotch Thermal Laminating Pouches, 100-Pack, 8.9 x 11.4 Inches, Letter Size Sheets (TP3854-100)",$15.18,4.9,54194
Arts & Crafts,Crafting,"Bostitch Office 3 Hole Punch, 12 Sheet Capacity, All-Metal, Silver",$6.99,4.7,40108
Arts & Crafts,Crafting,"Scotch Thermal Laminating Pouches, 200-Pack, 8.9 x 11.4 Inches, Letter Size Sheets, Clear, 3-Mil (TP3854-200)",$25.99,4.9,19002
Arts & Crafts,Crafting,"Cricut Standard Grip, 12""x12"", 2 Mats, Green",$7.99,4.8,20356
Arts & Crafts,Crafting,"Crayola Construction Paper 9"" x 12"" Pad, 8 Classic Colors (96 Sheets), Great For Classrooms & School Projects, Colors may vary",$2.99,4.8,6645
Arts & Crafts,Crafting,"Amazon Basics Multipurpose, Comfort Grip, Titanium Fused, Stainless Steel Office Scissors - Pack of 3",$8.22,4.8,28132
Arts & Crafts,Crafting,Amazon Basics Multipurpose Office Scissors - 2-Pack,$5.95,4.8,6791
Arts & Crafts,Crafting,"Command Poster Hanging Strips, Small, White, Indoor Use, 64-Strips, Decorate Damage-Free",$10.44,4.6,27841
Arts & Crafts,Crafting,"DIYSELF 300 PCS Craft Knife Blades, High Carbon Steel #11 Refill Hobby Art Blades Cutting Tool with Storage Case for Craft, Hobby, Scrapbooking, Stencil",$15.99,4.6,1041
Arts & Crafts,Crafting,"1/2 Inch Single Face Solid Polyester Satin Ribbon 50 Yards for Gift Package Wrapping,Floral Design,Hair Bow Clip Making,Crafting,Sewing,Wedding Decor,Boy Girl Baby Shower, Navy Blue",$8.99,4.7,326
Arts & Crafts,Crafting,"QBrands-520 Pcs Wooden Beads for Crafts - 10m Long Jute Twine – Unfinished 6 Sizes Assorted Wood Beads for Jewelry Making, Garland, Farmhouse Decor and DIY Crafting – 8mm 10mm 12mm 14mm 16mm 20mm",$10.70,5.0,8
Arts & Crafts,Crafting,"YRYM HT Clear Vinyl Transfer Paper Tape Roll-12 x 50 FT w/Alignment Grid Application Tape for Silhouette Cameo, Cricut Adhesive Vinyl for Decals,Signs, Windows, Stickers",$16.88,4.6,48196
Arts & Crafts,Crafting,"3 Pack PTFE Teflon Sheet for Heat Press Transfer Sheet Non Stick 16 x 20"" Heat Transfer Paper Reusable Heat Resistant Craft Mat",$6.99,4.7,40348
Arts & Crafts,Crafting,Gorilla Dual Temp Mini Hot Glue Gun Kit with 30 Hot Glue Sticks,,4.7,29062
Arts & Crafts,Crafting,"Neenah Premium Cardstock, 8.5"" x 11"", 65 lb/176 gsm, Bright White, 250 Sheets (91904)",$12.99,4.8,2777
Arts & Crafts,Crafting,"Neenah Cardstock, 8.5"" x 11"", 90 lb/163 gsm, White, 94 Brightness, 300 Sheets (91437)",$12.49,4.7,8636
Arts & Crafts,Crafting,"NEENAH Creative Collection Classics Specialty Cardstock Starter Kit, 8.5 X 11 Inches, 72 Count Assortment (46407-02)",$7.99,4.8,8789
Arts & Crafts,Crafting,"Brown Kraft Paper Roll - 18"" x 1,200"" (100') Made in The USA - Ideal for Packing, Moving, Gift Wrapping, Postal, Shipping, Parcel, Wall Art, Crafts, Bulletin Boards, Floor Covering, Table Runner",$14.97,4.7,8702
Arts & Crafts,Crafting,"ZEN Bundles Zen Pipe Cleaners Hard Bristle, 132 Count (Pack of 3),Yellow",$4.75,4.6,23713
Arts & Crafts,Crafting,SIMETUFY 360 Sheets 36 Multicolor Tissue Paper Bulk Gift Wrapping Tissue Paper Decorative Art Rainbow Tissue Paper 12in x 8.4in for Art Craft Floral Birthday Party Festival Tissue Paper Pom Pom,$9.34,4.3,2387
Arts & Crafts,Crafting,"Coconix Vinyl and Leather Repair Kit - Restorer of Your Furniture, Jacket, Sofa, Boat or Car Seat, Super Easy Instructions to Match Any Color, Restore Any Material, Bonded, Italian, Pleather, Genuine",$16.10,4.1,17606
Arts & Crafts,Crafting,"Command Picture Hanging Strips, Medium, Black, Holds up to 12 lbs, 16-Pairs (32-Strips), Easy to Open Packaging",$10.99,4.6,6633
Arts & Crafts,Crafting,"Rayson RC4000P-US Paper Cutter Trimmer, A4 Size (12 inch) Paper Cutter for Coupon, Craft Paper and Photos (Light Pink)",$11.99,3.9,34
Arts & Crafts,Crafting,"Glass Mosaic Tiles, Mosaic Kit with Wooden Coaster, Mixed Colors Mosaic Glass Pieces DIY Crafts Material Package Supplies for Coaster Handmade Home Decor Gifts (2 Sets)",$18.99,4.1,13
Arts & Crafts,Crafting,"Self Adhesive Rhinestone Strips Diamond Bling Crystal Rhinestone Ribbon Sticker, Bling Wrap Roll DIY for Crafting, Cake Decorating and Fabric (0.45 inches * 3 Yards, AB Color)",$8.59,4.9,11
Arts & Crafts,Crafting,"KEMAISI Hot Glue Gun Kit, 60W High Temp Hot Glue Guns with 25pcs Premium (Clear) Hot Glue Sticks(7mmx120mm), ON/Off Switch, No Drips Design, Mini Glue Gun for Crafts, DIY, Home Repairs",$17.99,4.6,20
Arts & Crafts,Fabric,"Scotch Removable Fabric Tape, 3/4 in x 180 in, 1/Pack, Removable and Double Sided (FTR-1-CFT)",$8.39,4.4,3267
Arts & Crafts,Fabric,"Craft And Party, 54"" by 40 Yards (120 ft) Fabric Tulle Bolt for Wedding and Decoration (White)",$17.59,4.7,10842
Arts & Crafts,Fabric,"Mesheshe 10PCS Self Adhesive Felt Fabric, Soft Velvet Drawer Liner, DIY Velvet Fabric for Art & Crafts, Jewelry Box Felt Liner, A4 Size (8.3"" x 11.8"", Black)",$7.98,4.5,1482
Arts & Crafts,Fabric,"42pcs Felt Fabric Sheet 4""x4"" Assorted Color DIY Craft Squares Nonwoven 1mm Thick",$5.98,4.4,6215
Arts & Crafts,Fabric,"Tulle Fabric Rolls 6 Inch by 100 Yards (300 feet) Tulle Spool for Wedding Party Decorations Gift Bow Craft Tutu Skirt,White",$9.50,4.7,3233
Arts & Crafts,Fabric,flic-flac 28pcs 12 x 8 inches (30cmx20cm) 1.4mm Thick Soft Felt Fabric Sheet Assorted Color Felt Pack DIY Craft Sewing Squares Nonwoven Patchwork,$13.98,4.6,3486
Arts & Crafts,Fabric,"Richcraft 12"" x 10yd NO-FRAY Burlap Roll ~ Long Fabric with Finished Edges. Perfect for Weddings,Table Runners, Placemat, Crafts. Decorate Without The Mess!",$22.99,4.7,1875
Arts & Crafts,Fabric,"Kona Cotton White, Quilting Fabric by the Yard",$5.75,4.7,1628
